id,session_id,question_id,question_order,randomized_option_order,selected_answer_option_id,selected_option_ids,is_correct,confidence_level,response_time_seconds,max_score,earned_score,status,answered_at,created_at,updated_at
1,1,1365,0,"[""5457"",""5458"",""5459"",""5460""]",5459,"[""5459""]",false,low,59,3,0,answered,"""2026-06-11T19:03:46.000Z""","""2026-06-11T18:50:46.000Z""","""2026-06-11T19:03:46.000Z"""
2,1,1361,1,"[""5441"",""5442"",""5443"",""5444""]",5443,"[""5443""]",false,medium,85,2,0,answered,"""2026-06-11T19:03:46.000Z""","""2026-06-11T18:50:46.000Z""","""2026-06-11T19:03:46.000Z"""
3,1,1352,2,"[""5405"",""5408"",""5407"",""5406""]",5406,"[""5406""]",false,low,46,2,0,answered,"""2026-06-11T19:03:46.000Z""","""2026-06-11T18:50:46.000Z""","""2026-06-11T19:03:46.000Z"""
4,1,1355,3,"[""5419"",""5418"",""5420"",""5417""]",5420,"[""5420""]",false,medium,61,2,0,answered,"""2026-06-11T19:03:46.000Z""","""2026-06-11T18:50:46.000Z""","""2026-06-11T19:03:46.000Z"""
5,1,1371,4,"[""5484"",""5483"",""5482"",""5481""]",5482,"[""5482""]",false,low,74,3,0,answered,"""2026-06-11T19:03:46.000Z""","""2026-06-11T18:50:46.000Z""","""2026-06-11T19:03:46.000Z"""
6,1,1351,5,"[""5403"",""5401"",""5402"",""5404""]",5401,"[""5401"",""5402"",""5403""]",true,high,88,1,1,answered,"""2026-06-11T19:03:46.000Z""","""2026-06-11T18:50:46.000Z""","""2026-06-11T19:03:46.000Z"""
7,1,1349,6,"[""5396"",""5394"",""5393"",""5395""]",5393,"[""5393""]",true,high,14,2,2,answered,"""2026-06-11T19:03:46.000Z""","""2026-06-11T18:50:46.000Z""","""2026-06-11T19:03:46.000Z"""
8,2,8567,0,"[""34267"",""34268"",""34265"",""34266""]",34265,"[""34265"",""34266""]",true,high,71,1,1,answered,"""2026-05-22T12:02:34.000Z""","""2026-05-22T11:43:34.000Z""","""2026-05-22T12:02:34.000Z"""
9,2,8565,1,"[""34257"",""34260"",""34258"",""34259""]",34257,"[""34257"",""34258""]",true,high,24,1,1,answered,"""2026-05-22T12:02:34.000Z""","""2026-05-22T11:43:34.000Z""","""2026-05-22T12:02:34.000Z"""
10,2,8564,2,"[""34256"",""34253"",""34255"",""34254""]",34256,"[""34256""]",false,low,89,1,0,answered,"""2026-05-22T12:02:34.000Z""","""2026-05-22T11:43:34.000Z""","""2026-05-22T12:02:34.000Z"""
11,2,8574,3,"[""34293"",""34295"",""34296"",""34294""]",34296,"[""34296""]",false,low,20,2,0,answered,"""2026-05-22T12:02:34.000Z""","""2026-05-22T11:43:34.000Z""","""2026-05-22T12:02:34.000Z"""
12,2,8575,4,"[""34298"",""34297"",""34299"",""34300""]",34297,"[""34297""]",true,high,46,2,2,answered,"""2026-05-22T12:02:34.000Z""","""2026-05-22T11:43:34.000Z""","""2026-05-22T12:02:34.000Z"""
13,2,8592,5,"[""34368"",""34365"",""34366"",""34367""]",34365,"[""34365""]",true,medium,83,3,3,answered,"""2026-05-22T12:02:34.000Z""","""2026-05-22T11:43:34.000Z""","""2026-05-22T12:02:34.000Z"""
14,2,8590,6,"[""34358"",""34359"",""34357"",""34360""]",34360,"[""34360""]",false,low,55,3,0,answered,"""2026-05-22T12:02:34.000Z""","""2026-05-22T11:43:34.000Z""","""2026-05-22T12:02:34.000Z"""
15,3,1908,0,"[""7630"",""7629"",""7632"",""7631""]",7629,"[""7629"",""7630"",""7631""]",true,high,21,1,1,answered,"""2026-06-02T08:39:56.000Z""","""2026-06-02T08:21:56.000Z""","""2026-06-02T08:39:56.000Z"""
16,3,1910,1,"[""7639"",""7640"",""7637"",""7638""]",7639,"[""7639""]",false,medium,90,3,0,answered,"""2026-06-02T08:39:56.000Z""","""2026-06-02T08:21:56.000Z""","""2026-06-02T08:39:56.000Z"""
