id,exam_id,question_id,randomized_order,randomized_option_order,selected_answer_option_id,is_correct,response_time_seconds,selected_option_ids,max_score,earned_score
1,1,1351,0,"[""5402"",""5401"",""5404"",""5403""]",5401,true,82,"[""5401"",""5402"",""5403""]",5,5
2,1,1350,1,"[""5397"",""5399"",""5398"",""5400""]",5397,true,44,"[""5397""]",15,15
3,1,1364,2,"[""5456"",""5455"",""5453"",""5454""]",5454,false,77,"[""5454""]",10,0
4,1,1353,3,"[""5409"",""5410"",""5412"",""5411""]",5412,false,109,"[""5412""]",15,0
5,1,1358,4,"[""5432"",""5429"",""5430"",""5431""]",5429,true,15,"[""5429""]",10,10
6,1,1357,5,"[""5428"",""5427"",""5425"",""5426""]",5425,true,50,"[""5425"",""5426"",""5427""]",5,5
7,1,1359,6,"[""5434"",""5436"",""5435"",""5433""]",5436,false,29,"[""5436""]",15,0
8,1,1363,7,"[""5450"",""5449"",""5451"",""5452""]",5449,true,74,"[""5449"",""5450"",""5451""]",5,5
9,1,1352,8,"[""5405"",""5406"",""5408"",""5407""]",5405,true,52,"[""5405""]",10,10
10,1,1370,9,"[""5479"",""5478"",""5480"",""5477""]",5479,false,106,"[""5479""]",10,0
11,2,1358,0,"[""5431"",""5432"",""5430"",""5429""]",5429,true,55,"[""5429""]",10,10
12,2,1363,1,"[""5451"",""5452"",""5449"",""5450""]",5452,false,64,"[""5452""]",5,0
13,2,1353,2,"[""5412"",""5409"",""5410"",""5411""]",5409,true,28,"[""5409""]",15,15
14,2,1350,3,"[""5400"",""5399"",""5398"",""5397""]",5397,true,100,"[""5397""]",15,15
15,2,1364,4,"[""5456"",""5454"",""5455"",""5453""]",5453,true,81,"[""5453""]",10,10
16,2,1356,5,"[""5423"",""5422"",""5424"",""5421""]",5422,false,32,"[""5422""]",15,0
17,2,1352,6,"[""5406"",""5408"",""5407"",""5405""]",5405,true,118,"[""5405""]",10,10
18,2,1368,7,"[""5470"",""5471"",""5469"",""5472""]",5470,false,60,"[""5470""]",15,0
19,2,1370,8,"[""5477"",""5480"",""5478"",""5479""]",5477,true,44,"[""5477""]",10,10
20,2,1349,9,"[""5395"",""5396"",""5394"",""5393""]",5393,true,51,"[""5393""]",10,10
21,2,1366,10,"[""5463"",""5461"",""5464"",""5462""]",5464,false,61,"[""5464""]",5,0
22,2,1365,11,"[""5459"",""5460"",""5457"",""5458""]",5460,false,96,"[""5460""]",15,0
23,3,1357,0,"[""5426"",""5428"",""5425"",""5427""]",5425,true,45,"[""5425"",""5426"",""5427""]",5,5
